"order_id","correct","student_id","skill_name"
1,0,1,"mathematic"
2,0,1,"mathematic"
3,1,1,"mathematic"
4,1,1,"mathematic"
5,1,1,"mathematic"
6,1,1,"mathematic"
1,0,2,"mathematic"
2,1,2,"mathematic"
3,1,2,"mathematic"
4,1,2,"mathematic"
5,0,2,"mathematic"
6,1,2,"mathematic"
7,1,2,"mathematic"
1,0,3,"mathematic"
2,1,3,"mathematic"
3,1,3,"mathematic"
4,1,3,"mathematic"
5,1,3,"mathematic"
6,1,3,"mathematic"
7,1,3,"mathematic"
8,1,3,"mathematic"
1,1,4,"mathematic"
2,1,4,"mathematic"
1,0,5,"mathematic"
2,0,5,"mathematic"
3,1,5,"mathematic"
4,0,5,"mathematic"
5,0,5,"mathematic"
1,0,6,"mathematic"
2,1,6,"mathematic"
3,0,6,"mathematic"
4,0,6,"mathematic"
5,1,6,"mathematic"
6,1,6,"mathematic"
1,0,7,"mathematic"
2,1,7,"mathematic"
3,0,7,"mathematic"
4,1,7,"mathematic"
5,1,7,"mathematic"
6,1,7,"mathematic"
1,1,8,"mathematic"
2,1,8,"mathematic"
3,1,8,"mathematic"
4,1,8,"mathematic"
5,1,8,"mathematic"
1,1,9,"mathematic"
2,0,9,"mathematic"
3,1,9,"mathematic"
4,1,9,"mathematic"
5,1,9,"mathematic"
6,1,9,"mathematic"
7,1,9,"mathematic"
8,1,9,"mathematic"
9,1,9,"mathematic"
1,1,10,"mathematic"
2,0,10,"mathematic"
3,1,10,"mathematic"
4,1,10,"mathematic"
5,1,10,"mathematic"
6,1,10,"mathematic"
7,1,10,"mathematic"
8,1,10,"mathematic"
9,0,10,"mathematic"
10,1,10,"mathematic"
1,0,11,"mathematic"
2,1,11,"mathematic"
3,1,11,"mathematic"
4,1,11,"mathematic"
5,1,11,"mathematic"
6,1,11,"mathematic"
7,1,11,"mathematic"
1,1,12,"mathematic"
2,1,12,"mathematic"
3,0,12,"mathematic"
1,0,13,"mathematic"
1,0,14,"mathematic"
2,0,14,"mathematic"
3,0,14,"mathematic"
4,1,14,"mathematic"
5,1,14,"mathematic"
6,1,14,"mathematic"
1,0,15,"mathematic"
2,1,15,"mathematic"
3,1,15,"mathematic"
4,1,15,"mathematic"
5,1,15,"mathematic"
6,1,15,"mathematic"
7,1,15,"mathematic"
1,1,16,"mathematic"
2,1,16,"mathematic"
3,0,16,"mathematic"
4,1,16,"mathematic"
5,1,16,"mathematic"
6,1,16,"mathematic"
7,1,16,"mathematic"
1,1,17,"mathematic"
1,1,18,"mathematic"
1,1,19,"mathematic"
2,1,19,"mathematic"
3,1,19,"mathematic"
4,1,19,"mathematic"
5,1,19,"mathematic"
6,1,19,"mathematic"
7,1,19,"mathematic"
8,1,19,"mathematic"
9,1,19,"mathematic"
10,1,19,"mathematic"
1,0,20,"mathematic"
2,0,20,"mathematic"
3,1,20,"mathematic"
4,0,20,"mathematic"
5,1,20,"mathematic"
6,0,20,"mathematic"
7,1,20,"mathematic"
8,1,20,"mathematic"
9,1,20,"mathematic"
1,1,21,"mathematic"
1,1,22,"mathematic"
2,1,22,"mathematic"
3,1,22,"mathematic"
4,1,22,"mathematic"
5,1,22,"mathematic"
1,1,23,"mathematic"
2,0,23,"mathematic"
3,1,23,"mathematic"
4,1,23,"mathematic"
5,1,23,"mathematic"
6,1,23,"mathematic"
7,1,23,"mathematic"
8,1,23,"mathematic"
1,1,24,"mathematic"
2,0,24,"mathematic"
3,1,24,"mathematic"
1,1,25,"mathematic"
2,1,25,"mathematic"
1,1,26,"mathematic"
2,1,26,"mathematic"
1,1,27,"mathematic"
1,0,28,"mathematic"
2,1,28,"mathematic"
3,1,28,"mathematic"
4,1,28,"mathematic"
5,1,28,"mathematic"
1,0,29,"mathematic"
2,1,29,"mathematic"
3,1,29,"mathematic"
4,1,29,"mathematic"
5,1,29,"mathematic"
6,1,29,"mathematic"
7,1,29,"mathematic"
8,1,29,"mathematic"
1,0,30,"mathematic"
2,1,30,"mathematic"
3,1,30,"mathematic"
1,0,31,"mathematic"
1,1,32,"mathematic"
2,1,32,"mathematic"
3,1,32,"mathematic"
1,1,33,"mathematic"
2,1,33,"mathematic"
3,0,33,"mathematic"
4,1,33,"mathematic"
1,0,34,"mathematic"
2,0,34,"mathematic"
3,0,34,"mathematic"
4,0,34,"mathematic"
5,1,34,"mathematic"
6,0,34,"mathematic"
1,1,35,"mathematic"
2,1,35,"mathematic"
3,1,35,"mathematic"
1,0,36,"mathematic"
2,1,36,"mathematic"
3,1,36,"mathematic"
4,1,36,"mathematic"
5,1,36,"mathematic"
6,1,36,"mathematic"
7,1,36,"mathematic"
8,1,36,"mathematic"
1,0,37,"mathematic"
2,1,37,"mathematic"
3,1,37,"mathematic"
4,1,37,"mathematic"
5,1,37,"mathematic"
6,0,37,"mathematic"
1,1,38,"mathematic"
2,1,38,"mathematic"
3,1,38,"mathematic"
4,1,38,"mathematic"
5,1,38,"mathematic"
1,0,39,"mathematic"
2,1,39,"mathematic"
3,0,39,"mathematic"
4,1,39,"mathematic"
5,1,39,"mathematic"
6,1,39,"mathematic"
7,1,39,"mathematic"
8,1,39,"mathematic"
9,1,39,"mathematic"
1,0,40,"mathematic"
1,1,41,"mathematic"
2,1,41,"mathematic"
1,1,42,"mathematic"
2,1,42,"mathematic"
1,0,43,"mathematic"
2,0,43,"mathematic"
3,0,43,"mathematic"
4,1,43,"mathematic"
5,1,43,"mathematic"
6,0,43,"mathematic"
7,1,43,"mathematic"
1,1,44,"mathematic"
2,1,44,"mathematic"
3,1,44,"mathematic"
4,1,44,"mathematic"
