"order_id","correct","student_id","skill_name"
1,1,1,"mathematic"
2,0,1,"mathematic"
3,0,1,"mathematic"
4,1,1,"mathematic"
5,0,1,"mathematic"
6,1,1,"mathematic"
7,1,1,"mathematic"
8,1,1,"mathematic"
1,1,2,"mathematic"
2,1,2,"mathematic"
3,1,2,"mathematic"
4,1,2,"mathematic"
5,0,2,"mathematic"
6,1,2,"mathematic"
7,1,2,"mathematic"
8,1,2,"mathematic"
9,0,2,"mathematic"
1,0,3,"mathematic"
2,1,3,"mathematic"
3,1,3,"mathematic"
4,1,3,"mathematic"
5,1,3,"mathematic"
6,1,3,"mathematic"
7,0,3,"mathematic"
8,1,3,"mathematic"
9,1,3,"mathematic"
1,1,4,"mathematic"
2,0,4,"mathematic"
3,1,4,"mathematic"
4,1,4,"mathematic"
5,1,4,"mathematic"
6,0,4,"mathematic"
1,1,5,"mathematic"
2,1,5,"mathematic"
3,0,5,"mathematic"
1,1,6,"mathematic"
2,1,6,"mathematic"
3,1,6,"mathematic"
4,1,6,"mathematic"
5,1,6,"mathematic"
6,0,6,"mathematic"
7,1,6,"mathematic"
1,1,7,"mathematic"
2,1,7,"mathematic"
3,1,7,"mathematic"
4,0,7,"mathematic"
1,1,8,"mathematic"
1,0,9,"mathematic"
2,1,9,"mathematic"
3,1,9,"mathematic"
4,1,9,"mathematic"
5,1,9,"mathematic"
6,1,9,"mathematic"
1,1,10,"mathematic"
2,1,10,"mathematic"
1,1,11,"mathematic"
2,1,11,"mathematic"
3,0,11,"mathematic"
4,1,11,"mathematic"
5,1,11,"mathematic"
6,0,11,"mathematic"
7,1,11,"mathematic"
8,0,11,"mathematic"
1,0,12,"mathematic"
2,1,12,"mathematic"
3,1,12,"mathematic"
4,1,12,"mathematic"
1,1,13,"mathematic"
2,1,13,"mathematic"
3,0,13,"mathematic"
4,1,13,"mathematic"
5,1,13,"mathematic"
6,1,13,"mathematic"
7,1,13,"mathematic"
8,1,13,"mathematic"
9,1,13,"mathematic"
1,1,14,"mathematic"
2,1,14,"mathematic"
3,1,14,"mathematic"
4,1,14,"mathematic"
5,1,14,"mathematic"
6,1,14,"mathematic"
7,1,14,"mathematic"
8,0,14,"mathematic"
9,1,14,"mathematic"
1,1,15,"mathematic"
2,1,15,"mathematic"
3,0,15,"mathematic"
4,1,15,"mathematic"
5,1,15,"mathematic"
6,1,15,"mathematic"
7,1,15,"mathematic"
8,1,15,"mathematic"
9,1,15,"mathematic"
1,1,16,"mathematic"
2,1,16,"mathematic"
3,1,16,"mathematic"
4,1,16,"mathematic"
5,1,16,"mathematic"
6,1,16,"mathematic"
7,1,16,"mathematic"
1,1,17,"mathematic"
2,1,17,"mathematic"
3,1,17,"mathematic"
4,0,17,"mathematic"
5,1,17,"mathematic"
6,1,17,"mathematic"
7,0,17,"mathematic"
8,0,17,"mathematic"
9,0,17,"mathematic"
1,0,18,"mathematic"
2,1,18,"mathematic"
3,0,18,"mathematic"
4,1,18,"mathematic"
5,0,18,"mathematic"
6,1,18,"mathematic"
7,1,18,"mathematic"
8,1,18,"mathematic"
9,1,18,"mathematic"
10,1,18,"mathematic"
1,1,19,"mathematic"
2,1,19,"mathematic"
3,1,19,"mathematic"
4,1,19,"mathematic"
1,1,20,"mathematic"
1,1,21,"mathematic"
2,1,21,"mathematic"
3,1,21,"mathematic"
4,1,21,"mathematic"
5,0,21,"mathematic"
1,0,22,"mathematic"
2,1,22,"mathematic"
3,0,22,"mathematic"
4,1,22,"mathematic"
5,1,22,"mathematic"
6,1,22,"mathematic"
7,0,22,"mathematic"
8,1,22,"mathematic"
9,0,22,"mathematic"
1,1,23,"mathematic"
2,1,23,"mathematic"
1,1,24,"mathematic"
2,1,24,"mathematic"
3,1,24,"mathematic"
4,1,24,"mathematic"
1,0,25,"mathematic"
1,0,26,"mathematic"
2,1,26,"mathematic"
3,0,26,"mathematic"
4,1,26,"mathematic"
5,1,26,"mathematic"
6,1,26,"mathematic"
7,1,26,"mathematic"
8,0,26,"mathematic"
1,1,27,"mathematic"
2,1,27,"mathematic"
3,1,27,"mathematic"
4,1,27,"mathematic"
5,1,27,"mathematic"
6,0,27,"mathematic"
1,1,28,"mathematic"
2,1,28,"mathematic"
3,1,28,"mathematic"
4,1,28,"mathematic"
5,1,28,"mathematic"
6,1,28,"mathematic"
7,1,28,"mathematic"
8,1,28,"mathematic"
1,1,29,"mathematic"
2,1,29,"mathematic"
3,1,29,"mathematic"
4,1,29,"mathematic"
5,1,29,"mathematic"
6,1,29,"mathematic"
7,1,29,"mathematic"
8,1,29,"mathematic"
9,1,29,"mathematic"
1,1,30,"mathematic"
1,1,31,"mathematic"
2,1,31,"mathematic"
1,0,32,"mathematic"
2,1,32,"mathematic"
3,1,32,"mathematic"
4,1,32,"mathematic"
1,1,33,"mathematic"
2,1,33,"mathematic"
3,1,33,"mathematic"
4,1,33,"mathematic"
5,1,33,"mathematic"
1,1,34,"mathematic"
2,1,34,"mathematic"
3,1,34,"mathematic"
4,1,34,"mathematic"
5,1,34,"mathematic"
6,1,34,"mathematic"
7,1,34,"mathematic"
1,1,35,"mathematic"
2,1,35,"mathematic"
3,1,35,"mathematic"
4,0,35,"mathematic"
5,1,35,"mathematic"
6,1,35,"mathematic"
7,1,35,"mathematic"
1,1,36,"mathematic"
2,1,36,"mathematic"
3,1,36,"mathematic"
4,1,36,"mathematic"
5,1,36,"mathematic"
1,1,37,"mathematic"
2,1,37,"mathematic"
3,1,37,"mathematic"
4,1,37,"mathematic"
1,1,38,"mathematic"
2,1,38,"mathematic"
3,1,38,"mathematic"
4,1,38,"mathematic"
5,0,38,"mathematic"
6,1,38,"mathematic"
7,0,38,"mathematic"
8,1,38,"mathematic"
1,1,39,"mathematic"
2,1,39,"mathematic"
1,1,40,"mathematic"
2,1,40,"mathematic"
3,1,40,"mathematic"
4,1,40,"mathematic"
5,1,40,"mathematic"
6,1,40,"mathematic"
7,1,40,"mathematic"
8,1,40,"mathematic"
1,1,41,"mathematic"
2,0,41,"mathematic"
3,1,41,"mathematic"
4,1,41,"mathematic"
1,0,42,"mathematic"
2,1,42,"mathematic"
3,1,42,"mathematic"
4,1,42,"mathematic"
5,1,42,"mathematic"
1,1,43,"mathematic"
2,1,43,"mathematic"
3,1,43,"mathematic"
4,1,43,"mathematic"
5,1,43,"mathematic"
6,1,43,"mathematic"
7,1,43,"mathematic"
8,1,43,"mathematic"
9,1,43,"mathematic"
1,1,44,"mathematic"
2,1,44,"mathematic"
3,1,44,"mathematic"
4,1,44,"mathematic"
5,1,44,"mathematic"
6,0,44,"mathematic"
7,1,44,"mathematic"
8,1,44,"mathematic"
9,0,44,"mathematic"
1,0,45,"mathematic"
2,0,45,"mathematic"
1,0,46,"mathematic"
2,1,46,"mathematic"
3,1,46,"mathematic"
4,1,46,"mathematic"
5,1,46,"mathematic"
6,0,46,"mathematic"
7,1,46,"mathematic"
8,1,46,"mathematic"
1,1,47,"mathematic"
1,0,48,"mathematic"
2,1,48,"mathematic"
3,0,48,"mathematic"
4,1,48,"mathematic"
5,1,48,"mathematic"
6,1,48,"mathematic"
1,1,49,"mathematic"
2,1,49,"mathematic"
3,1,49,"mathematic"
4,1,49,"mathematic"
5,1,49,"mathematic"
6,0,49,"mathematic"
7,0,49,"mathematic"
8,0,49,"mathematic"
1,1,50,"mathematic"
2,1,50,"mathematic"
3,0,50,"mathematic"
4,1,50,"mathematic"
5,0,50,"mathematic"
6,0,50,"mathematic"
7,1,50,"mathematic"
8,1,50,"mathematic"
9,1,50,"mathematic"
10,1,50,"mathematic"
